id,status,name,company_id,company_name,employment_type,additional_apply_type,due_time,country,location,full_location,reward_total,reward_recommender,reward_recommendee,category_parent,category_children,url
370103,active,[인턴] [쇼포트] Product Engineer (Frontend),30423,레브잇,intern,,,한국,서울,"서울 관악구 남부순환로 1836, 7층, 8층","￦1,000,000","￦500,000","￦500,000",개발,프론트엔드 개발자,https://www.wanted.co.kr/wd/370103?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374686,active,파넬/그로우어스 퍼포먼스광고팀 영상 콘텐츠 마케터,12230,일레븐코퍼레이션,regular,,,한국,서울,서울특별시 중구 남대문로 78 명동 타임워크빌딩 5층,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,콘텐츠 마케터,https://www.wanted.co.kr/wd/374686?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374723,active,파넬/그로우어스 퍼포먼스광고팀 퍼포먼스 마케터,12230,일레븐코퍼레이션,regular,,,한국,서울,서울특별시 중구 남대문로 78 명동 타임워크빌딩 5층,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,퍼포먼스 마케터;마케터,https://www.wanted.co.kr/wd/374723?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
369108,active,Infra/System Engineer,16783,콜로세움코퍼레이션,regular,,,한국,서울,"서울 강남구 영동대로 424, 3-4층","￦1,000,000","￦500,000","￦500,000",개발,"시스템,네트워크 관리자;데이터 엔지니어",https://www.wanted.co.kr/wd/369108?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
365722,active,[인턴] Social Content Marketing,27024,넥스트챕터(NextChapter),intern,foreigner,,한국,서울,"서울시 성동구 성수일로 111, 선명스퀘어 14층","￦1,000,000","￦500,000","￦500,000",마케팅·광고,소셜 마케터;콘텐츠 마케터;글로벌 마케팅,https://www.wanted.co.kr/wd/365722?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374716,active,[인턴] 브랜드 전략 매니저 (뷰티/퍼스널케어),27024,넥스트챕터(NextChapter),intern,,,한국,서울,"서울시 성동구 성수일로 111, 선명스퀘어 14층","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,상품기획자(BM);운영 매니저;전략 기획자,https://www.wanted.co.kr/wd/374716?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374358,active,글로벌 뷰티 브랜드 대만홍콩팀 인플루언서 마케터,12230,일레븐코퍼레이션,contract,,,한국,서울,서울특별시 중구 남대문로 78 명동 타임워크빌딩 5층,"￦200,000","￦100,000","￦100,000",마케팅·광고,소셜 마케터;글로벌 마케팅;마케터,https://www.wanted.co.kr/wd/374358?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374714,active,B2B 프론트 영업 5~10년,43161,리베이션,regular,foreigner,2026-09-13,한국,서울,"서울 강서구 마곡중앙로 143, TOWER B 3층 301호","￦1,000,000","￦500,000","￦500,000",영업,기술영업;해외영업;기업영업,https://www.wanted.co.kr/wd/374714?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374710,active,[Branden/EQQUALBERRY] Recruiting Manager,18833,부스터스,regular,,,한국,서울,"서울 강남구 논현로 508, GS타워 7층 부스터스","￦1,000,000","￦500,000","￦500,000",HR,헤드헌터;리크루터,https://www.wanted.co.kr/wd/374710?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374703,active,스킨케어 제품개발 매니저 (PM),56453,샘린뷰티,regular,foreigner,2026-10-13,한국,서울,"서울 강남구 영동대로 511, 트레이드타워 2501호","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,상품기획자(BM);PM·PO,https://www.wanted.co.kr/wd/374703?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
