id,category_tag_id,category_name,snapshot_date,reward_avg,reward_p50,reward_p90,common_attraction_tag_ids,is_demo
1,517,HR,2026-07-14,910744,1000000,1000000,,0
2,518,개발,2026-07-14,950961,1000000,1000000,,0
3,523,마케팅·광고,2026-07-14,958185,1000000,1000000,,0
4,521,법률·법집행기관,2026-07-14,934118,1000000,1000000,,0
5,511,디자인,2026-07-14,958359,1000000,1000000,,0
6,507,경영·비즈니스,2026-07-14,940693,1000000,1000000,,0
7,530,영업,2026-07-14,922210,1000000,1000000,,0
8,510,고객서비스·리테일,2026-07-14,936723,1000000,1000000,,0
9,10101,교육,2026-07-14,817391,1000000,1000000,,0
10,522,제조·생산,2026-07-14,959848,1000000,1000000,,0
11,513,엔지니어링·설계,2026-07-14,894167,1000000,1000000,,0
12,532,물류·무역,2026-07-14,920567,1000000,1000000,,0
13,10566,정보보호,2026-07-14,961491,1000000,1000000,,0
14,515,의료·제약·바이오,2026-07-14,914062,1000000,1000000,,0
15,959,게임 제작,2026-07-14,981395,1000000,1000000,,0
16,524,미디어,2026-07-14,904846,1000000,1000000,,0
17,508,금융,2026-07-14,931373,1000000,1000000,,0
18,10057,식·음료,2026-07-14,961905,1000000,1000000,,0
19,509,건설·시설,2026-07-14,976190,1000000,1000000,,0
20,514,공공·복지,2026-07-14,1000000,1000000,1000000,,0
